"CubeId";"zimoma"
"PublishingDate";"2023-04-03 14:30"

"Date";"D0";"Value"
"1974-09";"SOFR";
"1974-09";"3M1";
"1974-09";"TONA";
"1974-09";"3M2";
"1974-09";"SONIA";
"1974-09";"3M3";
"1974-09";"ESTR";
"1974-09";"EURIBOR";
"1974-09";"3M4";
"1974-10";"SARON";
"1974-10";"1TGT";"0.25"
"1974-10";"EG3M";
"1974-10";"3M0";
"1974-10";"SOFR";
"1974-10";"3M1";
"1974-10";"TONA";
"1974-10";"3M2";
"1974-10";"SONIA";
"1974-10";"3M3";
"1974-10";"ESTR";
"1974-10";"EURIBOR";
"1974-10";"3M4";
"1974-11";"SARON";
"1974-11";"1TGT";"3"
"1974-11";"EG3M";
"1974-11";"3M0";
"1974-11";"SOFR";
"1974-11";"3M1";
"1974-11";"TONA";
"1974-11";"3M2";
"1974-11";"SONIA";
"1974-11";"3M3";
"1974-11";"ESTR";
"1974-11";"EURIBOR";
"1974-11";"3M4";
"1974-12";"SARON";
"1974-12";"1TGT";"1"
"1974-12";"EG3M";
"1974-12";"3M0";
"1974-12";"SOFR";
"1974-12";"3M1";
"1974-12";"TONA";
"1974-12";"3M2";
"1974-12";"SONIA";
"1974-12";"3M3";
"1974-12";"ESTR";
"1974-12";"EURIBOR";
"1974-12";"3M4";
"1975-01";"SARON";
"1975-01";"1TGT";"0.5"
"1975-01";"EG3M";
"1975-01";"3M0";
"1975-01";"SOFR";
"1975-01";"3M1";
"1975-01";"TONA";
"1975-01";"3M2";
"1975-01";"SONIA";
"1975-01";"3M3";
"1975-01";"ESTR";
"1975-01";"EURIBOR";
"1975-01";"3M4";
"1975-02";"SARON";
"1975-02";"1TGT";"1"
"1975-02";"EG3M";
"1975-02";"3M0";
"1975-02";"SOFR";
"1975-02";"3M1";
"1975-02";"TONA";
"1975-02";"3M2";
"1975-02";"SONIA";
"1975-02";"3M3";
"1975-02";"ESTR";
"1975-02";"EURIBOR";
"1975-02";"3M4";
"1975-03";"SARON";
"1975-03";"1TGT";"1"
"1975-03";"EG3M";
"1975-03";"3M0";
"1975-03";"SOFR";
"1975-03";"3M1";
"1975-03";"TONA";
"1975-03";"3M2";
"1975-03";"SONIA";
"1975-03";"3M3";
"1975-03";"ESTR";
"1975-03";"EURIBOR";
"1975-03";"3M4";
"1975-04";"SARON";
"1975-04";"1TGT";"1"
"1975-04";"EG3M";
"1975-04";"3M0";
"1975-04";"SOFR";
"1975-04";"3M1";
"1975-04";"TONA";
"1975-04";"3M2";
"1975-04";"SONIA";
"1975-04";"3M3";
"1975-04";"ESTR";
"1975-04";"EURIBOR";
"1975-04";"3M4";
"1975-05";"SARON";
"1975-05";"1TGT";"1"
"1975-05";"EG3M";
"1975-05";"3M0";
"1975-05";"SOFR";
"1975-05";"3M1";
"1975-05";"TONA";
"1975-05";"3M2";
"1975-05";"SONIA";
"1975-05";"3M3";
"1975-05";"ESTR";
"1975-05";"EURIBOR";
"1975-05";"3M4";
"1975-06";"SARON";
"1975-06";"1TGT";"0.5"
"1975-06";"EG3M";
"1975-06";"3M0";
"1975-06";"SOFR";
"1975-06";"3M1";
"1975-06";"TONA";
"1975-06";"3M2";
"1975-06";"SONIA";
"1975-06";"3M3";
"1975-06";"ESTR";
"1975-06";"EURIBOR";
"1975-06";"3M4";
"1975-07";"SARON";
"1975-07";"1TGT";"3"
"1975-07";"EG3M";
"1975-07";"3M0";
"1975-07";"SOFR";
"1975-07";"3M1";
"1975-07";"TONA";
"1975-07";"3M2";
"1975-07";"SONIA";
"1975-07";"3M3";
"1975-07";"ESTR";
"1975-07";"EURIBOR";
"1975-07";"3M4";
"1975-08";"SARON";
"1975-08";"1TGT";"0.375"
"1975-08";"EG3M";
"1975-08";"3M0";
"1975-08";"SOFR";
"1975-08";"3M1";
"1975-08";"TONA";
"1975-08";"3M2";
"1975-08";"SONIA";
"1975-08";"3M3";
"1975-08";"ESTR";
"1975-08";"EURIBOR";
"1975-08";"3M4";
"1975-09";"SARON";
"1975-09";"1TGT";"2.5"
"1975-09";"EG3M";
"1975-09";"3M0";
"1975-09";"SOFR";
"1975-09";"3M1";
"1975-09";"TONA";
"1975-09";"3M2";
"1975-09";"SONIA";
"1975-09";"3M3";
"1975-09";"ESTR";
"1975-09";"EURIBOR";
"1975-09";"3M4";
"1975-10";"SARON";
"1975-10";"1TGT";"0.75"
"1975-10";"EG3M";
"1975-10";"3M0";
"1975-10";"SOFR";
"1975-10";"3M1";
"1975-10";"TONA";
"1975-10";"3M2";
"1975-10";"SONIA";
"1975-10";"3M3";
"1975-10";"ESTR";
"1975-10";"EURIBOR";
"1975-10";"3M4";
"1975-11";"SARON";
"1975-11";"1TGT";"2"
"1975-11";"EG3M";
"1975-11";"3M0";
"1975-11";"SOFR";
"1975-11";"3M1";
"1975-11";"TONA";
"1975-11";"3M2";
"1975-11";"SONIA";
"1975-11";"3M3";
"1975-11";"ESTR";
"1975-11";"EURIBOR";
"1975-11";"3M4";
"1975-12";"SARON";
"1975-12";"1TGT";"2"
"1975-12";"EG3M";
"1975-12";"3M0";
"1975-12";"SOFR";
"1975-12";"3M1";
"1975-12";"TONA";
"1975-12";"3M2";
"1975-12";"SONIA";
"1975-12";"3M3";
"1975-12";"ESTR";
"1975-12";"EURIBOR";
"1975-12";"3M4";
"1976-01";"SARON";
"1976-01";"1TGT";"0.5"
"1976-01";"EG3M";
"1976-01";"3M0";
"1976-01";"SOFR";
"1976-01";"3M1";
"1976-01";"TONA";
"1976-01";"3M2";
"1976-01";"SONIA";
"1976-01";"3M3";
"1976-01";"ESTR";
"1976-01";"EURIBOR";
"1976-01";"3M4";
"1976-02";"SARON";
"1976-02";"1TGT";"0.75"
"1976-02";"EG3M";
"1976-02";"3M0";
"1976-02";"SOFR";
"1976-02";"3M1";
"1976-02";"TONA";
"1976-02";"3M2";
"1976-02";"SONIA";
"1976-02";"3M3";
"1976-02";"ESTR";
"1976-02";"EURIBOR";
"1976-02";"3M4";
"1976-03";"SARON";
"1976-03";"1TGT";"0.5"
"1976-03";"EG3M";
"1976-03";"3M0";
"1976-03";"SOFR";
"1976-03";"3M1";
"1976-03";"TONA";
"1976-03";"3M2";
"1976-03";"SONIA";
"1976-03";"3M3";
"1976-03";"ESTR";
"1976-03";"EURIBOR";
"1976-03";"3M4";
"1976-04";"SARON";
"1976-04";"1TGT";"0.5"
"1976-04";"EG3M";
"1976-04";"3M0";
"1976-04";"SOFR";
"1976-04";"3M1";
"1976-04";"TONA";
"1976-04";"3M2";
"1976-04";"SONIA";
"1976-04";"3M3";
"1976-04";"ESTR";
"1976-04";"EURIBOR";
"1976-04";"3M4";
"1976-05";"SARON";
"1976-05";"1TGT";"0.5"
"1976-05";"EG3M";
"1976-05";"3M0";
"1976-05";"SOFR";
"1976-05";"3M1";
"1976-05";"TONA";
"1976-05";"3M2";
"1976-05";"SONIA";
"1976-05";"3M3";
"1976-05";"ESTR";
"1976-05";"EURIBOR";
"1976-05";"3M4";
"1976-06";"SARON";
"1976-06";"1TGT";"0.25"
"1976-06";"EG3M";
"1976-06";"3M0";
"1976-06";"SOFR";
"1976-06";"3M1";
"1976-06";"TONA";
"1976-06";"3M2";
"1976-06";"SONIA";
"1976-06";"3M3";
"1976-06";"ESTR";
"1976-06";"EURIBOR";
"1976-06";"3M4";
"1976-07";"SARON";
"1976-07";"1TGT";"1.5"
"1976-07";"EG3M";
"1976-07";"3M0";
"1976-07";"SOFR";
"1976-07";"3M1";
"1976-07";"TONA";
"1976-07";"3M2";
"1976-07";"SONIA";
"1976-07";"3M3";
"1976-07";"ESTR";
"1976-07";"EURIBOR";
"1976-07";"3M4";
"1976-08";"SARON";
"1976-08";"1TGT";"0.5"
"1976-08";"EG3M";
"1976-08";"3M0";
"1976-08";"SOFR";
"1976-08";"3M1";
"1976-08";"TONA";
"1976-08";"3M2";
"1976-08";"SONIA";
"1976-08";"3M3";
"1976-08";"ESTR";
"1976-08";"EURIBOR";
"1976-08";"3M4";
"1976-09";"SARON";
"1976-09";"1TGT";"0"
"1976-09";"EG3M";
"1976-09";"3M0";
"1976-09";"SOFR";
"1976-09";"3M1";
"1976-09";"TONA";
"1976-09";"3M2";
"1976-09";"SONIA";
"1976-09";"3M3";
"1976-09";"ESTR";
"1976-09";"EURIBOR";
"1976-09";"3M4";
"1976-10";"SARON";
"1976-10";"1TGT";"0"
"1976-10";"EG3M";
"1976-10";"3M0";
"1976-10";"SOFR";
"1976-10";"3M1";
"1976-10";"TONA";
"1976-10";"3M2";
"1976-10";"SONIA";
"1976-10";"3M3";
"1976-10";"ESTR";
"1976-10";"EURIBOR";
"1976-10";"3M4";
"1976-11";"SARON";
"1976-11";"1TGT";"0"
"1976-11";"EG3M";
"1976-11";"3M0";
"1976-11";"SOFR";
"1976-11";"3M1";
"1976-11";"TONA";
"1976-11";"3M2";
"1976-11";"SONIA";
"1976-11";"3M3";
"1976-11";"ESTR";
"1976-11";"EURIBOR";
"1976-11";"3M4";
"1976-12";"SARON";
"1976-12";"1TGT";"0"
